rank,country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption_perception,total_cases_apr30,peak_daily_new_cases,avg_daily_growth_rate,days_to_100_cases,cases_log,institutional_trust_index,social_resilience_index,economic_wellbeing_index,happiness_tier,gdp_per_capita_scaled,social_support_scaled,healthy_life_expectancy_scaled,freedom_scaled,generosity_scaled,corruption_perception_scaled,institutional_trust_index_scaled,social_resilience_index_scaled
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,1932.0,208.0,0.07643261090109425,67.0,7.566828479208331,0.23349999999999999,0.6779999999999999,0.696,Medium (4.5–5.5),0.4133016627078384,0.6841133004926108,0.13513513513513514,0.6751188589540412,0.3798586572438163,0.09050772626931566,0.4491869918699186,0.4915520628683692
86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,746.0,69.0,0.06682894126396785,69.0,6.616065185132817,0.2655,1.0805,0.551,Medium (4.5–5.5),0.3271971496437055,0.8854679802955664,0.5965250965250966,0.8050713153724247,0.5300353356890459,0.050772626931567325,0.5142276422764227,0.8078585461689587
88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,4006.0,199.0,0.08379594051147621,59.0,8.295798110636145,0.1,0.9724999999999999,1.002,Medium (4.5–5.5),0.5950118764845606,0.7142857142857142,0.6563706563706564,0.1362916006339144,0.12897526501766785,0.2516556291390728,0.17784552845528456,0.7229862475442042
89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,4423.0,281.0,0.0847959549818401,60.0,8.39479954320217,0.247,0.782,0.801,Medium (4.5–5.5),0.4756532066508314,0.48152709359605905,0.6534749034749036,0.6624405705229793,0.0636042402826855,0.16777041942604853,0.47662601626016254,0.5732809430255402
90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,1804.0,105.0,0.07574056435118162,64.0,7.498315870766981,0.26649999999999996,0.958,1.043,Medium (4.5–5.5),0.6193586698337291,0.7062807881773399,0.640926640926641,0.5562599049128367,0.0618374558303887,0.401766004415011,0.5162601626016259,0.711591355599214
91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,725.0,61.0,0.0665409092406545,53.0,6.587550014824796,0.1215,1.0194999999999999,0.987,Medium (4.5–5.5),0.586104513064133,0.753694581280788,0.6853281853281853,0.34231378763866877,0.2932862190812721,0.05960264900662251,0.22154471544715443,0.7599214145383102
92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,10118.0,436.0,0.09315323357302786,53.0,9.222170123729759,0.2595,0.9315,0.931,Medium (4.5–5.5),0.5528503562945368,0.7407635467980295,0.5357142857142857,0.7781299524564184,0.8798586572438163,0.06181015452538631,0.5020325203252032,0.6907662082514734
93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,83956.0,15136.0,0.05080769293420244,0.0,11.338060041995572,0.3105,1.009,1.029,Medium (4.5–5.5),0.6110451306413301,0.6927339901477831,0.7606177606177607,0.8256735340729002,0.10247349823321555,0.22075055187637968,0.605691056910569,0.7516699410609036
94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,270.0,19.0,0.05658705879676466,60.0,5.602118820879701,0.308,1.0985,0.741,Medium (4.5–5.5),0.4400237529691211,0.8288177339901477,0.7200772200772201,0.8605388272583202,0.2597173144876325,0.16114790286975714,0.600609756097561,0.8220039292730844
95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,7.0,1.0,0.021004460016968037,,2.0794415416798357,0.312,0.9624999999999999,0.813,Medium (4.5–5.5),0.48277909738717334,0.813423645320197,0.48166023166023164,0.7242472266244058,0.6537102473498233,0.3686534216335541,0.6087398373983739,0.7151277013752454
96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,1832.0,203.0,0.07589605300848186,67.0,7.513709247839705,0.209,0.6205,0.549,Medium (4.5–5.5),0.3260095011876485,0.5603448275862069,0.21814671814671818,0.6038034865293186,0.3303886925795053,0.08167770419426047,0.399390243902439,0.4463654223968565
97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,1506.0,137.0,0.07391794140026764,58.0,7.317876198626496,0.1575,1.164,1.092,Medium (4.5–5.5),0.6484560570071259,0.9316502463054185,0.6853281853281853,0.4928684627575277,0.14310954063604242,0.008830022075055186,0.2947154471544715,0.873477406679764
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,2074.0,403.0,0.07714865083499796,64.0,7.637716432664798,0.2105,0.677,0.611,Medium (4.5–5.5),0.36282660332541566,0.5344827586206896,0.36776061776061775,0.6038034865293186,0.43286219081272087,0.08830022075055187,0.40243902439024387,0.4907662082514734
99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,1275.0,113.0,0.07223722690812864,65.0,7.151485463904735,0.22099999999999997,0.52,0.569,Medium (4.5–5.5),0.3378859857482185,0.49753694581280783,0.12258687258687259,0.5578446909667195,0.27208480565371024,0.19867549668874168,0.4237804878048779,0.3673870333988212
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,57.0,14.0,0.04101457586410524,,4.060443010546419,0.264,0.9515,0.446,Medium (4.5–5.5),0.2648456057007126,0.7549261083743841,0.5521235521235521,0.6957210776545166,0.5035335689045937,0.1964679911699779,0.5111788617886178,0.7064833005893909
101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,453.0,40.0,0.06179896159637725,60.0,6.118097198041348,0.2565,1.02,0.837,Medium (4.5–5.5),0.4970308788598575,0.7543103448275862,0.6853281853281853,0.6069730586370841,0.1943462897526502,0.28697571743929357,0.4959349593495934,0.7603143418467583
102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,64.0,19.0,0.04216552797874381,,4.174387269895637,0.2155,0.41700000000000004,0.393,Medium (4.5–5.5),0.2333729216152019,0.2690886699507389,0.28185328185328185,0.5530903328050712,0.30918727915194344,0.18101545253863133,0.4126016260162601,0.2864440078585461
103,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093,220.0,57.0,0.05452689597492679,84.0,5.3981627015177525,0.23249999999999998,0.6535,0.673,Medium (4.5–5.5),0.3996437054631829,0.49199507389162556,0.38899613899613894,0.589540412044374,0.1855123674911661,0.20529801324503308,0.4471544715447154,0.47229862475442036
104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,276.0,38.0,0.05680825763825594,86.0,5.6240175061873385,0.175,0.877,1.057,Medium (4.5–5.5),0.6276722090261282,0.728448275862069,0.4498069498069498,0.4675118858954041,0.07597173144876325,0.12141280353200881,0.3302845528455284,0.6479371316306483
105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,19.0,3.0,0.030259921955090818,,2.995732273553991,0.35550000000000004,0.7905,0.764,Medium (4.5–5.5),0.45368171021377673,0.6342364532019704,0.43050193050193053,0.8668779714738511,0.4699646643109541,0.36203090507726265,0.6971544715447154,0.5799607072691552
106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,5647.0,354.0,0.08726319978962706,56.0,8.639056779173078,0.222,0.9099999999999999,0.96,Medium (4.5–5.5),0.5700712589073634,0.8318965517241378,0.3513513513513513,0.6164817749603804,0.2296819787985866,0.12141280353200881,0.42581300813008127,0.6738703339882121
107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,773.0,34.0,0.06718759468272452,61.0,6.651571873589727,0.20500000000000002,0.861,0.947,Medium (4.5–5.5),0.5623515439429928,0.522167487684729,0.7422779922779923,0.6069730586370841,0.31448763250883394,0.05960264900662251,0.391260162601626,0.6353634577603142
108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,333.0,29.0,0.05869839386845152,64.0,5.811140992976701,0.1005,1.116,0.96,Medium (4.5–5.5),0.5700712589073634,0.878694581280788,0.6756756756756758,0.24405705229793978,0.11307420494699648,0.10375275938189844,0.17886178861788615,0.8357563850687623
109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,122.0,31.0,0.04860792278153957,67.0,4.812184355372417,0.3355,0.8795000000000001,0.574,Medium (4.5–5.5),0.340855106888361,0.6908866995073891,0.5135135135135135,0.96513470681458,0.4098939929328622,0.13686534216335539,0.6565040650406504,0.649901768172888
111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,933.0,87.0,0.06908562058817012,64.0,6.839476438228843,0.182,0.8524999999999999,0.45,Medium (4.5–5.5),0.2672209026128266,0.6982758620689653,0.4498069498069498,0.46275752773375595,0.27031802120141346,0.15894039735099336,0.3445121951219512,0.6286836935166993
112,Somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27,601.0,73.0,0.0646490651041295,86.0,6.400257445308821,0.41450000000000004,0.483,0.0,Medium (4.5–5.5),0.0,0.4298029556650245,0.15733590733590733,0.8858954041204439,0.4293286219081272,0.5960264900662251,0.8170731707317073,0.3383104125736738
113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,16.0,3.0,0.028618316606628447,,2.833213344056216,0.2285,0.895,0.879,Medium (4.5–5.5),0.5219714964370546,0.8084975369458126,0.359073359073359,0.6354992076069731,0.1236749116607774,0.12362030905077262,0.4390243902439024,0.662082514734774
114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,719.0,69.0,0.06645708294959699,72.0,6.579251212010101,0.21,0.5700000000000001,0.138,Medium (4.5–5.5),0.0819477434679335,0.4766009852216748,0.2519305019305019,0.5039619651347068,0.33215547703180215,0.22516556291390724,0.4014227642276422,0.4066797642436149
115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,645.0,41.0,0.06536161114931921,62.0,6.470799503782602,0.184,0.718,0.331,Medium (4.5–5.5),0.1965558194774347,0.6502463054187192,0.2654440154440154,0.4041204437400951,0.3127208480565371,0.24944812362030902,0.34857723577235766,0.5229862475442042
116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,2066.0,134.0,0.07710963191597746,57.0,7.633853559681768,0.1735,0.9349999999999999,0.85,Medium (4.5–5.5),0.504750593824228,0.649630541871921,0.6853281853281853,0.4484944532488114,0.1678445229681979,0.14128035320088297,0.3272357723577235,0.6935166994106089
117,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,94640.0,3186.0,0.11573581883791076,35.0,11.457846064953165,0.215,0.8135,1.1,Medium (4.5–5.5),0.653206650831354,0.5184729064039408,0.6563706563706564,0.48335974643423135,0.4770318021201414,0.2759381898454746,0.4115853658536585,0.5980353634577602
118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,1495.0,167.0,0.07384394099529719,73.0,7.310550158534422,0.20900000000000002,0.602,0.38,Medium (4.5–5.5),0.22565320665083136,0.5104679802955664,0.26061776061776065,0.526148969889065,0.3657243816254417,0.1898454746136865,0.39939024390243905,0.4318271119842828
119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,539.0,42.0,0.06355120342988202,68.0,6.29156913955832,0.255,0.7090000000000001,0.886,Medium (4.5–5.5),0.5261282660332541,0.41009852216748766,0.6245173745173745,0.5483359746434231,0.07597173144876325,0.36203090507726265,0.49288617886178854,0.5159135559921415
120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,11.0,5.0,0.02510006716957576,,2.4849066497880004,0.2745,0.6835,0.308,Medium (4.5–5.5),0.1828978622327791,0.5782019704433496,0.31177606177606176,0.6053882725832013,0.47526501766784457,0.3686534216335541,0.532520325203252,0.4958742632612965
121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,396.0,29.0,0.06044380081502213,71.0,5.983936280687191,0.242,0.782,0.512,Medium (4.5–5.5),0.30403800475059384,0.605295566502463,0.45945945945945943,0.6830427892234548,0.657243816254417,0.11699779249448122,0.46646341463414626,0.5732809430255402
122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,8.0,2.0,0.022194187649860805,,2.1972245773362196,0.077,0.8280000000000001,0.57,Low (< 4.5),0.338479809976247,0.7185960591133004,0.3706563706563706,0.10459587955625992,0.1872791519434629,0.1942604856512141,0.13109756097560976,0.6094302554027504
123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,76.0,19.0,0.04387682244296651,,4.343805421853684,0.316,0.688,0.204,Low (< 4.5),0.12114014251781471,0.6071428571428571,0.27509652509652505,0.7828843106180665,0.34805653710247353,0.304635761589404,0.616869918699187,0.499410609037328
124,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055,994.0,82.0,0.06972467411271306,62.0,6.902742737158593,0.111,0.9075,0.921,Low (< 4.5),0.5469121140142518,0.6157635467980295,0.6853281853281853,0.26465927099841524,0.10424028268551237,0.12141280353200881,0.20020325203252032,0.6719056974459724
125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,7667.0,641.0,0.09035162731480338,75.0,8.944811104165534,0.335,0.8255,0.562,Low (< 4.5),0.333729216152019,0.5714285714285714,0.5965250965250966,0.8351822503961965,0.2932862190812721,0.3156732891832229,0.6554878048780487,0.6074656188605108
126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,2085.0,91.0,0.07720205692485574,51.0,7.643003635560718,0.16499999999999998,0.7769999999999999,1.043,Low (< 4.5),0.6193586698337291,0.6034482758620688,0.45270270270270263,0.3819334389857369,0.26148409893992935,0.1964679911699779,0.30995934959349586,0.5693516699410608
127,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053,572.0,81.0,0.06415036077489636,70.0,6.35088571671474,0.161,0.741,0.094,Low (< 4.5),0.055819477434679333,0.6927339901477831,0.24324324324324323,0.4263074484944533,0.3745583038869258,0.11699779249448122,0.3018292682926829,0.5410609037328094
128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,490.0,58.0,0.06259034472519717,81.0,6.19644412779452,0.1895,0.7065,0.385,Low (< 4.5),0.22862232779097386,0.6804187192118225,0.19594594594594592,0.5182250396196514,0.27031802120141346,0.11479028697571741,0.3597560975609756,0.5139489194499017
129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,124.0,20.0,0.04877084583133638,97.0,4.8283137373023015,0.177,0.5415,0.268,Low (< 4.5),0.15914489311163896,0.5178571428571428,0.13223938223938222,0.4896988906497623,0.44522968197879864,0.09933774834437084,0.3343495934959349,0.3842829076620824
130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,663.0,65.0,0.06563921363107508,62.0,6.498282149476434,0.2585,1.048,0.949,Low (< 4.5),0.5635391923990498,0.7789408866995072,0.7007722007722007,0.7448494453248811,0.43109540636042404,0.10375275938189844,0.5,0.7823182711198428
131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,151.0,21.0,0.050746267887336126,88.0,5.0238805208462765,0.34850000000000003,0.8680000000000001,0.71,Low (< 4.5),0.4216152019002375,0.7272167487684729,0.4343629343629344,0.8320126782884311,1.0,0.379690949227373,0.6829268292682926,0.6408644400785855
132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,73.0,21.0,0.043475404981860304,,4.30406509320417,0.126,0.479,0.35,Low (< 4.5),0.20783847980997622,0.4716748768472906,0.08397683397683398,0.2757527733755943,0.34982332155477036,0.17218543046357615,0.23069105691056907,0.3351669941060903
133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,10406.0,578.0,0.09343670642058445,63.0,9.25023393563786,0.094,1.0645,0.82,Low (< 4.5),0.4869358669833729,0.8559113300492609,0.611969111969112,0.2820919175911252,0.3303886925795053,0.022075055187637967,0.16565040650406504,0.7952848722986247
134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,131.0,9.0,0.04932123154127647,87.0,4.882801922586371,0.22199999999999998,0.7825,0.336,Low (< 4.5),0.1995249406175772,0.6360837438423644,0.41216216216216217,0.5451664025356576,0.36925795053003535,0.22075055187637968,0.4258130081300812,0.5736738703339881
136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,83.0,11.0,0.04475572524084155,,4.430816798843313,0.208,0.756,0.332,Low (< 4.5),0.19714964370546317,0.6582512315270935,0.32625482625482627,0.5641838351822503,0.44522968197879864,0.1324503311258278,0.3973577235772357,0.5528487229862474
137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,5537.0,269.0,0.08706453236091825,52.0,8.619388703730907,0.154,0.8414999999999999,0.913,Low (< 4.5),0.5421615201900237,0.6397783251231526,0.5202702702702703,0.3819334389857369,0.13427561837455831,0.14790286975717437,0.28760162601626016,0.6200392927308447
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,106.0,9.0,0.04720029125719097,99.0,4.672828834461906,0.259,0.742,0.578,Low (< 4.5),0.34323040380047504,0.6514778325123152,0.30984555984555984,0.6830427892234548,0.43639575971731454,0.19205298013245028,0.5010162601626016,0.5418467583497052
139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,116.0,14.0,0.04810276701815915,98.0,4.762173934797756,0.189,0.491,0.275,Low (< 4.5),0.1633016627078385,0.3522167487684728,0.2944015444015444,0.4643423137876386,0.3127208480565371,0.18763796909492272,0.35873983739837395,0.3445972495088408
140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,34863.0,1893.0,0.10564858643620607,52.0,10.459210057184402,0.2915,0.6765,0.755,Low (< 4.5),0.4483372921615202,0.47105911330049255,0.46621621621621623,0.7892234548335975,0.353356890459364,0.18763796909492272,0.5670731707317073,0.4903732809430254
141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,141.0,17.0,0.050058859167689505,90.0,4.955827057601261,0.2015,0.6825,0.073,Low (< 4.5),0.04334916864608076,0.5677339901477833,0.32625482625482627,0.5863708399366085,0.41166077738515905,0.0728476821192053,0.38414634146341464,0.4950884086444007
142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,1.0,1.0,0.00700148667232268,,0.6931471805599453,0.10999999999999999,0.631,0.274,Low (< 4.5),0.16270783847981,0.4661330049261083,0.3861003861003861,0.22503961965134706,0.4858657243816255,0.17218543046357615,0.19817073170731703,0.4546168958742632
143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,128.0,14.0,0.04908901418547144,80.0,4.859812404361672,0.0945,0.7355,0.274,Low (< 4.5),0.16270783847981,0.564039408866995,0.4343629343629344,0.23454833597464342,0.2985865724381626,0.09050772626931566,0.16666666666666663,0.536738703339882
145,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,11.0,6.0,0.02510006716957576,,2.4849066497880004,0.2,0.4135,0.046,Low (< 4.5),0.02731591448931116,0.2752463054187192,0.2654440154440154,0.3486529318541997,0.31095406360424027,0.39735099337748336,0.38109756097560976,0.2836935166994105
146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,40.0,8.0,0.03751082895660917,,3.713572066704308,0.22499999999999998,0.7735000000000001,0.366,Low (< 4.5),0.21733966745843228,0.6859605911330049,0.31660231660231664,0.572107765451664,0.2667844522968198,0.1964679911699779,0.431910569105691,0.5666011787819253
147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,81.0,10.0,0.044512315628931855,,4.406719247264253,0.068,0.5685,0.323,Low (< 4.5),0.19180522565320665,0.42364532019704426,0.33204633204633205,0.04120443740095087,0.7402826855123675,0.24282560706401762,0.11280487804878049,0.40550098231827103
148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,23.0,7.0,0.032101553841898445,,3.1780538303479458,0.2775,0.8415,1.041,Low (< 4.5),0.6181710213776721,0.7050492610837438,0.41795366795366795,0.7210776545166403,0.0441696113074205,0.22075055187637968,0.5386178861788617,0.6200392927308448
149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,43.0,6.0,0.03822413771634607,,3.784189633918261,0.077,0.40900000000000003,0.619,Low (< 4.5),0.3675771971496437,0.23275862068965514,0.3233590733590733,0.020602218700475437,0.5848056537102474,0.3112582781456953,0.13109756097560976,0.28015717092337916
150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,37.0,10.0,0.03674329454269076,,3.6375861597263857,0.266,0.5275000000000001,0.191,Low (< 4.5),0.11342042755344418,0.3448275862068965,0.3764478764478765,0.7020602218700476,0.38515901060070673,0.1964679911699779,0.5152439024390244,0.37328094302554027
151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,6.0,5.0,0.01965565807126579,,1.9459101490553132,0.10999999999999999,0.8130000000000001,0.287,Low (< 4.5),0.1704275534441805,0.7161330049261083,0.34555984555984554,0.2266244057052298,0.19081272084805656,0.16997792494481234,0.19817073170731703,0.5976424361493123
152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,243.0,22.0,0.055526951770638405,73.0,5.497168225293202,0.483,0.6625,0.359,Low (< 4.5),0.21318289786223277,0.4378078817733989,0.4913127413127413,0.8795562599049129,0.3833922261484099,0.9072847682119204,0.95630081300813,0.47937131630648316
153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,480.0,181.0,0.06238249767783597,86.0,6.175867270105761,0.282,0.692,0.476,Low (< 4.5),0.2826603325415677,0.5449507389162561,0.3803088803088803,0.6608557844690967,0.48763250883392234,0.3245033112582781,0.5477642276422763,0.5025540275049115
154,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025,2171.0,232.0,0.07761013819246289,65.0,7.683403681053826,0.0125,0.439,0.35,Low (< 4.5),0.20783847980997622,0.31834975369458124,0.24710424710424708,0.0,0.27915194346289757,0.05518763796909492,0.0,0.3037328094302553
155,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035,50.0,31.0,0.039715410431558844,,3.9318256327243257,0.13,0.0525,0.026,Low (< 4.5),0.015439429928741092,0.0,0.0,0.35657686212361334,0.41519434628975266,0.07726269315673288,0.23882113821138212,0.0
156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,35.0,28.0,0.036197160994506164,,3.58351893845611,0.050499999999999996,0.43499999999999994,0.306,Low (< 4.5),0.18171021377672208,0.35406403940886694,0.1833976833976834,0.01584786053882726,0.35689045936395764,0.2008830022075055,0.07723577235772355,0.3005893909626718
156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,442.0,67.0,0.061551209798435716,89.0,6.093569770045136,0.050499999999999996,0.43499999999999994,0.306,Low (< 4.5),0.18171021377672208,0.35406403940886694,0.1833976833976834,0.01584786053882726,0.35689045936395764,0.2008830022075055,0.07723577235772355,0.3005893909626718
