rank,country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption_perception,total_cases_apr30,peak_daily_new_cases,avg_daily_growth_rate,days_to_100_cases,cases_log,institutional_trust_index,social_resilience_index,economic_wellbeing_index,happiness_tier,gdp_per_capita_scaled,social_support_scaled,healthy_life_expectancy_scaled,freedom_scaled,generosity_scaled,corruption_perception_scaled,institutional_trust_index_scaled,social_resilience_index_scaled
45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,14.0,2.0,0.02735404243537586,,2.70805020110221,0.281,1.08,0.694,High (5.5–6.5),0.4121140142517814,0.815886699507389,0.7046332046332046,0.6893819334389858,0.353356890459364,0.2803532008830022,0.5457317073170732,0.8074656188605107
46,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006,799.0,289.0,0.06752133058250431,69.0,6.684611727667927,0.2475,0.995,0.882,High (5.5–6.5),0.5237529691211401,0.7586206896551723,0.6303088803088803,0.7749603803486529,0.46289752650176685,0.01324503311258278,0.47764227642276413,0.7406679764243614
47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,4428.0,291.0,0.0848073646860929,58.0,8.395929103923198,0.2605,1.1564999999999999,1.092,High (5.5–6.5),0.6484560570071259,0.8817733990147781,0.7490347490347491,0.7464342313787639,0.11660777385159012,0.11037527593818984,0.5040650406504065,0.8675834970530449
48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,12240.0,523.0,0.09507622476843952,52.0,9.412546252075513,0.2335,1.0285,1.162,High (5.5–6.5),0.6900237529691211,0.7586206896551723,0.6949806949806949,0.7321711568938194,0.14664310954063606,0.011037527593818984,0.4491869918699187,0.7669941060903731
49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,850.0,58.0,0.06814557705629672,61.0,6.7464121285733745,0.2235,1.1325,1.263,High (5.5–6.5),0.7499999999999999,0.7530788177339901,0.9044401544401546,0.6434231378763867,0.3356890459363958,0.09050772626931566,0.42886178861788615,0.8487229862475442
50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,24934.0,11536.0,0.10226290624222448,56.0,10.124027717980223,0.2925,1.09,0.912,High (5.5–6.5),0.5415676959619953,0.8078817733990147,0.7364864864864865,0.7892234548335975,0.22261484098939932,0.19205298013245028,0.5691056910569104,0.8153241650294695
51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,4024.0,300.0,0.0838412140389158,52.0,8.300280189852664,0.295,1.0635,1.5,High (5.5–6.5),0.8907363420427553,0.8121921182266009,0.6785714285714286,0.7812995245641838,0.2508833922261484,0.21412803532008828,0.5741869918699186,0.7944990176817287
52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,2954.0,188.0,0.06962264284012212,53.0,7.991253929840199,0.29250000000000004,1.1185,1.05,High (5.5–6.5),0.6235154394299287,0.8676108374384235,0.6978764478764479,0.8827258320126784,0.6342756183745584,0.06181015452538631,0.5691056910569106,0.8377210216110019
53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,858.0,48.0,0.06824009012105307,58.0,6.755768921984255,0.164,1.1385,1.187,High (5.5–6.5),0.7048693586698337,0.9020935960591132,0.6824324324324325,0.41838351822503966,0.13250883392226148,0.14128035320088297,0.3079268292682927,0.8534381139489193
54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,10774.0,851.0,0.08678622964052529,29.0,9.28498391497195,0.1075,1.1275,1.301,High (5.5–6.5),0.7725653206650831,0.7506157635467979,0.8986486486486487,0.2519809825673534,0.30918727915194344,0.12362030905077262,0.1930894308943089,0.8447937131630646
